Location,Latitude,Longitude,Rating,Description
"Belmont (508 Cambridge St.), CA 94002",37.5266404,-122.2766648,6,"Motion not too hard, lasted about 1 minute. Very loud rumbling earth noises, like trains, heard. Ground: Marshy, level; by bay."
"Belmont (1802 Ralston Ave.), CA 94002",37.5134385,-122.290737,6,"Motion rapid, lasted about 30 seconds. Moderate earth noises heard. Ground: Compact, level."
"Belmont (404 Chesterton Ave.), CA 94002",37.5291855,-122.2802091,6,"Motion slow, lasted about 3 minutes. Faint earth noises heard. Ground: Level, filled in."
"Belvedere (5 Hilarita Circle), CA 94920",37.8820849,-122.470408,6,"Motion moderate. Moderate earth noises heard. Small objects shifted. Slight plaster cracks and slight concrete cracks in patio. Ground: Level, filled in."
"Belvedere-Tiburon, CA 94920",37.8839827,-122.4580469,5,"Motion rapid. Direction NE. Loud earth noises from NE heard by many 1 second before shock. Felt by all and frightened many in community. Doors and suspended heater rattled; house creaked. Hanging objects swung. Trees, bushes shaken strongly. My house is on a very steep slope near the bay. No damage. Frame structure. Ground: Filled in."
"Belvedere (5 Tamalpais Ave.), CA 94920",37.8772747,-122.4726765,5,"Motion rapid, lasted about 1 minute. Direction N-S. Small objects shifted. Walls creaked. Ground: Level; shell mound."
"Belvedere (Reed Heights, along Tiburon Blvd.), CA 94920",37.8780237,-122.463159,3,"Motion rapid, lasted few seconds. Direction E-W. Moderate earth noises heard. Ground: Rocky, sloping, some fill."
"Belvedere (12 Edgewater Rd.), CA 94920",37.8795099,-122.470806,6,"Motion slow, lasted about 30 seconds. Ground: Filled in."
"Belvedere (559 San Rafael Ave.), CA 94920",37.8727861,-122.4639967,6,"Motion rapid, lasted 1-2 seconds. This was the only shock felt. Ground: Level."
"Benicia, CA 94510",38.049365,-122.1585777,6,"Motion rapid. Loud earth noises heard by many. Felt by all on first floor of strongly built brick post office building (active); frightened all in community. Windows and doors rattled. Hanging objects swung. Ground: Soil, compact, level."
"Benicia, CA 94510",38.049365,-122.1585777,6,"Motion rapid. House rocked. Water in drinking water bottle rocked N-S. Ground: Rocky soil, sloping."
"Benicia, CA 94510",38.049365,-122.1585777,6,"Motion rapid, lasted about 30 seconds. Moderate earth noises heard. Ground: Soil, compact, level."
"Berkeley, Public Health Building, 2151 Berkeley Way, CA 94704",37.8738312,-122.2669365,6,"Press reported tile was cracked at the Public Health Building, 2151 Berkeley Way, on third and fourth floors and at the junction of top floor ceiling with exterior walls."
"Berkeley (Post Office), CA 94704",37.8637376,-122.2682245,6,Motion slow. Felt by all; frightened few. Windows and doors rattled. Plaster and windows cracked. Damage slight.
"Berkeley (2705 Webster St.), CA 94705",37.8560018,-122.2525243,6,"Motion rapid, lasted 25 seconds. Direction E-W. Loud earth noises from NW-SE heard by observer 15 seconds before shock. Felt by several on first floor of strongly built stucco building (sitting and active). Windows rattled; walls creaked. Plaster cracked. Damage slight to stucco. Ground: Level, soil."
"Berkeley (1010 Dwight Way), CA 94710",37.8605753,-122.2913716,6,"Motion rapid. Direction E. Loud earth noises heard. Small objects and furnishings shifted. Windows broke. Plaster, walls, chimney, and fireplace cracked. Damage considerable to brick and masonry."
"Berkeley (fishing pier, 1.5 miles out in bay), CA 94710",37.8611238,-122.322579,6,"Motion rapid, lasted 5 seconds. Direction W. Moderate earth noises heard. Fisherman knocked down."
"Berkeley (1647-A Walnut), CA 94709",37.8796524,-122.2668066,6,"Motion rapid. Loud earth noises heard, Small objects shifted. Plaster cracked. Ground: Soil, level, compact."
"Berkeley (1027 Euclid Ave., in hills), CA 94708",37.8911589,-122.2641827,6,"Motion rapid, lasted 30 seconds. Faint earth noises heard. Plaster cracked. Damage slight. Ground: Soil, compact, sloping."
"Berkeley (1265 Hopkins), CA 94706",37.8779972,-122.2893495,6,"Motion rapid, lasted 1-2 seconds. Moderate earth noises heard. Plaster cracked. Damage slight. Ground: Soil, level."
"Berkeley (2951 Linden Ave., Ashby-Claremont area), CA 94705",37.856901,-122.2495027,6,"Motion rapid, lasted a full minute. Faint earth noises heard. Small objects shifted. Few dishes broke. Minor chimney cracks. Damage slight to brick and masonry. Ground: Soil, compact."
"Berkeley (2955 Regent St.), CA 94705",37.856524,-122.2565606,6,"Motion rapid, lasted 1-2 minutes. Moderate earth noises heard. Small objects shifted. Plaster cracked. Damage slight. Ground: Compact."
"Berkeley (1 Canyon Rd.), CA 94705",37.8695094,-122.2494141,6,"Motion slow but sharp, lasted 1 minute. Direction indoors S-N. Moderate earth noises heard. Damage slight to brick and masonry (garden wall). Ground: Yellow clay, compact, steep; next to U.C. Stadium on Hayward Fault."
"Berkeley, CA 94704",37.8637376,-122.2682245,6,"Motion rapid, lasted 10-15 seconds. Moderate earth noises heard. Furnishings shifted; two-ton press jumped. Plaster cracked. Damage slight. Ground: Compact, sloping."
"Berkeley (South Berkeley Post Office), CA 94703",37.8524741,-122.2738958,5,"Motion rapid, lasted 30 seconds. Faint earth noises heard by many 1 second before shock. Felt by all and frightened many in community. Windows and doors rattled; walls creaked. Hanging objects swung. Ground: Soil, level."
"Berkeley (2511 Durant St.), CA 94704",37.8637376,-122.2682245,5,"Motion slow, rolling, lasted 6-7 seconds. Moderately loud earth noises heard by many. Felt by all at Sather Gate Post Office; frightened few. Windows and doors rattled; building creaked. Ground: Soil, compact."
"Berkeley (2900 Sacramento), CA 94702",37.8680576,-122.2852374,5,"Motion rapid, lasted 10 seconds. Faint earth noises heard. Felt by all in community. Windows rattled. Hanging objects swung. Ground: Level."
"Berkeley, CA 94704",37.8637376,-122.2682245,5,"Motion rapid. Loud earth noises heard. Felt by all; frightened many in community. Windows, doors, and dishes rattled; frame creaked. Hanging objects swung N. Trees, bushes shaken strongly. Small objects shifted. Ground: Soil."
"Berkeley (1501 Henry), CA 94709",37.8797282,-122.2704748,5,Small objects shifted. Ground: Sloping.
"Berkeley (1924 Woolsey St.), CA 94705",37.8518879,-122.2684516,5,"Few books fell from end of top shelf. Ground: Compact, sloping toward bay."
"Berkeley (Shattuck, corner of Center St.), CA 94704",37.867603,-122.2678542,5,"Loud earth noises heard, Small objects shifted in drugstore. Ground: Level."
"Berkeley (U.C. Radiation Laboratory), CA 94720",37.8759016,-122.2500545,5,"Motion slow, up and down. Faint earth noises heard. Plaster cracked some. Damage very slight. Ground: Rocky soil."
"Berkeley (2501 Prince St.), CA 94705",37.8542289,-122.2561855,5,"Small objects shifted. Ground: Level, compact."
"Berkeley (2200 Grove St.), CA 94704",37.8686191,-122.2729814,5,"Small objects shifted. Ground: Soil, compact, level."
"Berkeley (1305 Bayview), CA 94710",37.8645848,-122.2965778,5,"Small objects shifted, One vase broke. Ground: Rocky, compact, level."
"Berkeley (1740 Walnut St.), CA 94709",37.875918,-122.2679822,5,"Small objects shifted. Ground: Compact, level."
"Berkeley (2338 Telegraph Ave.), CA 94704",37.8680428,-122.2592475,5,"Small objects shifted, Ground: Compact, sloping."
"Berkeley (School for Blind), CA 94705",37.8712141,-122.255463,5,Small objects and furnishings shifted. Ground: Level.
"Berkeley (Shattuck and Center, Hotel Shattuck Bldg.), CA 94704",37.8691832,-122.2684195,5,Chandeliers swung violently. Damage none or slight.
"Berkeley (1419 Campus Dr.), CA 94708",37.8837062,-122.2527725,5,"Very slight plaster cracks. Ground: Rocky, compact, level."
"Berkeley (609 Santa Barbara; in hills), CA 94707",34.420285,-119.698935,5,"Chairs rocked, Small objects fell. Ground: Sloping."
"Berkeley (2709 Dwight Way), CA 94705",37.865966,-122.2533648,5,"Furnishings shifted. Ground: Soil, compact, sloping."
"Berkeley (1102-A 10th St.), CA 94710",37.8830045,-122.2981165,5,"Opened oven door. No damage in old building constructed about 1850. Ground: Soil, sloping, filled in; former beach line."
"Berkeley (1743 Addison), CA 94702",37.8703696,-122.2755572,5,"Entire building seemed to rock back and forth N-S. Ground: Soil, compact, level."
"1829 Berkeley Way, Berkeley, CA 94703",37.8725951,-122.2740781,5,No shifted or fallen objects and no damage.
"Grant and Bancroft, Berkeley, CA 94704",37.8666993,-122.2748003,5,No shifted or fallen objects and no damage.
"571 Neilson St., Berkeley, CA 94707",37.8970654,-122.2861276,5,No shifted or fallen objects and no damage.
"1788 Sonoma St., Berkeley, CA 94707",37.8856194,-122.2786142,5,No shifted or fallen objects and no damage.
"29 Live Oak Rd., Berkeley, CA 94705",37.8581534,-122.2321685,5,No shifted or fallen objects and no damage.
"U.C. Campus, Life Science Bldg., Berkeley, CA 94720",37.8714896,-122.2621408,5,No shifted or fallen objects and no damage.
"U.C. Campus, Virus Laboratory, 5th floor, Berkeley, CA 94720",37.8712141,-122.255463,5,No shifted or fallen objects and no damage.
"Durant near Shattuck (on street), Berkeley, CA 94704",37.867603,-122.2678542,5,No shifted or fallen objects and no damage.
"1024 Mariposa Ave., Berkeley, CA 94707",37.8890786,-122.2708349,5,No shifted or fallen objects and no damage.
"2951 Pine St., Berkeley, CA 94705",37.8570096,-122.2481732,5,No shifted or fallen objects and no damage.
"2615 Etna St., Berkeley, CA 94705",37.8634646,-122.2522649,5,No shifted or fallen objects and no damage.
"2355 Hilgard Ave., Berkeley, CA 94709",37.8785008,-122.263639,5,No shifted or fallen objects and no damage.
"1522 Channing Way, Berkeley, CA 94703",37.8639621,-122.2806041,5,No shifted or fallen objects and no damage.
"139 Purdue Ave., Berkeley, CA 94708",37.9111051,-122.2740465,5,No shifted or fallen objects and no damage.
"1150 Arch St., Berkeley, CA 94708",37.8876865,-122.2659647,5,No shifted or fallen objects and no damage.
"2161 Allston Way, Berkeley, CA 94704",37.8698505,-122.26643,5,No shifted or fallen objects and no damage.
"953 Arlington Ave., Berkeley, CA 94707",37.891387,-122.2728237,5,No shifted or fallen objects and no damage.
"3028 College Ave., Berkeley, CA 94705",37.8549441,-122.2531264,5,No shifted or fallen objects and no damage.
"1154 Spruce St., Berkeley, CA 94709",37.8872433,-122.2671111,5,No shifted or fallen objects and no damage.
"10 Rock Lane, Berkeley, CA 94708",37.8951787,-122.26679,5,No shifted or fallen objects and no damage.
"1256 Queen's Rd., Berkeley, CA 94708",37.8870016,-122.2541558,5,No shifted or fallen objects and no damage.
"810 San Luis Rd., Berkeley, CA 94707",37.8944644,-122.2711459,5,No shifted or fallen objects and no damage.
"780 Euclid, Berkeley, CA 94708",37.8966846,-122.2661641,5,No shifted or fallen objects and no damage.
"1332 Hopkins Court, Berkeley, CA 94702",37.8781858,-122.287432,5,No shifted or fallen objects and no damage.
"6 Sunset Lane, Berkeley, CA 94708",37.8985813,-122.2616894,5,No shifted or fallen objects and no damage.
"1890 Arch St., Berkeley, CA 94709",37.8747501,-122.2642515,5,No shifted or fallen objects and no damage.
"Berkeley schools, Berkeley, CA 94704",37.8712141,-122.255463,5,No damage was found in Berkeley schools.
"Bodega Bay, CA 94923",38.33325,-123.0480571,6,"Direction N. Moderate earth noises heard by many 2 seconds before shock. Felt by all; frightened many. Windows, doors, and dishes rattled. Hanging objects swung. Small objects shifted; books fell."
"Bolinas, CA 94924",37.9093702,-122.6863733,6,Press reported food market was in shambles from fallen merchandise.
"Bolinas, CA 94924",37.9093702,-122.6863733,6,Moderate earth noises heard by many 2 seconds before shock. Felt outdoors by observer (active); frightened all in community. Shock severely felt here. No damage to post office but quite a bit to goods in local grocery store. Quite a bit of glass knickknacks and antiques broke in one home. Seemed to rock from SW-NE but am not certain.
"Boyes Hot Springs, Sonoma, CA 95476",38.3138029,-122.4819253,6,"Motion rapid. Earth noises heard by few. Felt by many on first floor of strongly built stucco post office building (active); frightened few in community. Windows and doors rettled. Few plaster cracks reported. Ground: Rocky, sloping."
"Boyes Hot Springs, Sonoma, CA 95476",38.3138029,-122.4819253,5,"Motion slow, lasted 30 seconds. Direction W. Pendulum clock stopped. Moderate earth noises heard. Ground: Soil, level."
"Brisbane, CA 94005",37.6948419,-122.4070834,6,"Motion rapid. Loud earth noises heard by many. Direction W. Felt by all and frightened many in community. Windows, doors, and dishes rattled; house creaked. Hanging objects swung. Trees, bushes shaken strongly. Small objects and furnishings shifted; vases and small objects overturned. Plaster, windows, walls cracked. Knickknacks, pictures, and plaster fell. Dishes and windows broke. Damage considerable. Ground: Rocky, compact, sloping and steep."
"Brisbane (school), CA 94005",37.6913622,-122.4184108,6,"Motion rapid, pause of about 20 seconds, then shaking for 20 seconds. Loud earth noises heard. Small objects and furniture shifted. Plaster cracked. Ground: Soil over rock, sloping."
"Brisbane, CA 94005",37.6948419,-122.4070834,6,"Motion rapid, rolling, lasted 4-5 seconds. Direction S-N. Moderate earth noises heard. Large pieces of furni-ture shifted. Damage slight. Ground: Compact, sloping."
"Burlingame, CA 94010",37.5685247,-122.367428,6,"Press reported police and fire departments had no reports of serious building damage. Ledge broke loose from a house on Adeline Drive; two gas mains ruptured in the Hillsdale Industrial Park. Woman reportedly thrown from chair in home, receiving minor shoulder injury; another woman fainted. People left stores."
"Burlingame, CA 94010",37.5685247,-122.367428,6,District Superintendent of Burlingame Schools reported no damage had been found in Burlingame schools.
"Burlingame (1811 Adrian Rd.), CA 94010",37.599597,-122.3778625,6,"Motion rapid, lasted 15-30 seconds. Direction NE-SW. Small objects and furnishings shifted. Plaster, walls, and ground cracked. Damage slight to concrete. Ground: Level, filled in."
"Burlingame (208 Clarendon Rd.), CA 94010",37.5828398,-122.3385402,6,"Motion rapid, lasted about 1 minute. Moderate earth noises heard, Small objects shifted. Chimney cracked. Damage slight to brick and masonry. Ground: Filled in."
"Burlingame (Primrose Rd.), CA 94010",37.5779115,-122.3482551,6,"Motion rapid, lasted about 20 seconds. Moderate earth noises heard. Small objects shifted. Chimneys cracked next door. Damage slight. Ground: Level."
"Burlingame (1718 Easton Dr.), CA 94010",37.5841831,-122.3713455,6,"Motion rapid, sharp up-and-down jerks. Trees swayed NE. Small stucco cracks. Ground: Soil, compact, level."
"Burlingame Post Office, CA 94010",37.5685247,-122.367428,5,"Direction E-W. Moderate earth noises from E-W heard by many 2 seconds before shock. Felt by all in post office building; frightened many in community. Windows, doors, and dishes rattled; building creaked. Hanging objects swung E-W. Small objects shifted. Ground s Soil, compact, level."
"Burlingame (1450 Lincoln Ave.), CA 94010",37.586051,-122.3688606,5,"Motion rapid, lasted 10 seconds. Rumbling earth noises heard. Felt by many; frightened few. Pictures tilted. Ground: Soil, compact, level."
"Burlingame (north section), CA 94010",37.5892058,-122.363213,5,"Motion rapid, lasted about 30 seconds. Loud earth noises heard by observer 1-2 seconds before shock, Felt by all. Windows, doors, and dishes rattled; walls creaked. Small objects shifted. Ground: Soil."
"Burlingame (1505 Los Montes Dr.), CA 94010",37.5736123,-122.3946263,5,"Small objecte and canned goods shifted. Most aftershocks felt. Ground: Level, compact."
"Burlingame (north Burlingame hills), CA 94010",37.5751574,-122.3886738,5,"Dishes broke. Ground : Compact, sloping."
"Burlingame (1544 Carol Ave.), CA 94010",37.5734933,-122.3451682,5,Bric-a-brac and pictures on walls shifted. Ground: Compact.
"Burlingame (1412 Alvarado, north Burlingame), CA 94010",37.5792617,-122.3804344,5,Every picture in house shifted. Ground: Sloping.
"Burlingame (1511 Drake Ave.), CA 94010",37.5864965,-122.3781363,5,Roll of shelf paper and two bottles in closet fell. One bottle partly filled with liquid. Ground: Compact.
"Burlingame (1000 Larkspur Dr.), CA 94010",37.5859501,-122.3549064,5,Small objects shifted.
"Burlingame (1400 Bellevue Ave.), CA 94010",37.5792347,-122.3507434,5,"Two small train cars fell from shelf and broke; small objects shifted. Ground: Compact, level."
"Burlingame (2301 Hillside Dr.), CA 94010",37.5819926,-122.3767977,5,Small objects shifted. Ground: Level.
"Burlingame (464 Marin Dr.), CA 94010",37.5850779,-122.345369,5,"Small objects shifted. Ground: Soil, compact, level, filled in."
"Burlingame (1532 Howard Ave.), CA 94010",37.5746746,-122.3485024,5,"Small objects and furnishings shifted slightly. Ground: Soil, compact, level."
"Burlingame (1457 Bellevue Ave.), CA 94010",37.5779305,-122.3517122,5,"Small objects shifted. Ground: Soil, compact, level."
"Burlingame (113 Los Montes Dr.), CA 94010",37.5728122,-122.3932673,5,"Small objects shifted. Dogs barked. Ground: Soil, compact, level."
"Burlingame (1620 Forest View), CA 94010",37.5804224,-122.3625365,5,"Small objects shifted. Ground: Soil, compact, level."
"Burlingame (2932 Hillside Dr.), CA 94010",37.578297,-122.3895147,5,"Pictures and books shifted. Ground: Rocky, sloping."
"Burlingame (1471 Drake Ave.), CA 94010",37.5859783,-122.377122,5,"Small objects shifted. Ground: Soil, sloping."
"Burlingame (933 Bayshore Blvd.), CA 94010",37.5845254,-122.3282676,5,"Small objects shifted. Damage slight. Ground: Soil, level."
"Burlingame (Purity Store), CA 94010",37.5685247,-122.367428,5,"Small objects shifted. Ground: Soil, compact, level."
"Burlingame (1489 Burlingame Ave.), CA 94010",37.576631,-122.3498605,5,"Small objects shifted, Ground: Compact, level."
"Burlingame (391 Lexington Way), CA 94010",37.5855604,-122.3407541,5,"Small objects and furnishings shifted. Felt several subsequent single jolts. Ground: Soil, compact, level."
"Burlingame (1921 Devereux Dr.), CA 94010",37.5874332,-122.3801096,5,"Dishes broke. Small objects shifted. Ground: Soil, compact, level."
"Burlingame (1410 Grove St.), CA 94010",37.7758995,-122.4400223,5,Small objects and furnishings shifted.
"Burlingame, Trees in nursery swayed some, CA 94010",37.5820825,-122.3426844,5,"Trees in nursery swayed some. Ground: Soil, level."
"845 Acacia, Burlingame, CA 94010",37.5826133,-122.3580652,5,Locations reporting no shifted or fallen objects and no damage
"1519 Columbus Ave., Burlingame, CA 94010",37.5848574,-122.3805965,5,Felt a total of nine distinct shocks.
"Canyon, CA 94516",37.8306731,-122.1658805,6,"Motion rapid, lasted 30 seconds. Moderate to loud earth noises from NE heard by many 1 second before shock. Direction NNE. Felt by all and frightened all in community. Windows, doors, and dishes rattled; walls creaked. Doors swung. Pendulum clock stopped. Trees, bushes shaken strongly. Plaster, windows, walls, and chimneys cracked. Pictures fell. Windows broke. Damage slight to brick, masonry, and concrete. Ground: Rocky, loose, sloping."
"Canyon, CA 94516",37.8306731,-122.1658805,5,"Motion rapid, lasted about 15-30 seconds, Felt by all neighbors; frightened few; dog very frightened. Windows and doors rattled; walls creaked. Floor lamp swayed. Those questioned all heard rumble. One person reported three distinct shocks from E-W, one of which was a continuous up-and-down and sidewise shock. Persons living in houses high on hills felt only the major shock. Store on floor of canyon reported six shocks were felt: 08:38, 10:48, 11:44, 15:14, 16:26, and 00:13."
"Concord, Mayfair Market, CA 94520",37.9861916,-122.0429372,6,Press reported 90 square feet of composition subceiling fell at the year-old Mayfair Market; canned goods shaken from shelves. This was the only reported damage in Contra Costa County.
"Concord, Post Office, CA 94520",38.0349026,-122.026918,5,"Motion rapid, lasted about 1 minute. Felt by many in community; frightened many on first floor of strongly built coment-block post office building. Walls creaked. Grcund: Soil, compact, level."
"Concord (200 Detroit Ave.), CA 94520",37.9644654,-122.037591,5,"Motion slow, lasted about 30 seconds. Direction NE. Glassware in greenhouse rattled - Cracks in drying-cut scoil slightly lengthened. The only shifting I noticed was that of one bench which is built around and attached to a center fost support. The bench legs shifted about 1/3 inch in a NE direction, and remained in the new position, making the bench wobbly. Ground: Soil, compact, level."
"Concord (1692 Georgie Dr.), CA 94520",37.9743305,-122.0029798,5,"Motion rapid, lasted full 30 seconds. Direction NE. Moderate earth noises heard. Small objects shifted. Ground: Soil, level."
"Concord (1549 Grove Way), CA 94521",37.9741264,-122.0168398,5,"Motion rapid, lasted few seconds. Direction E-W. Moderate carth noisec heard. I was watching T.V. The picture moved from side to side, the sound went off, then we felt the shock. Ground: Soil, compact, level."
"Concord (1167 Carey Dr.), CA 94521",37.9524682,-122.0505623,3,"Motion slow, rocking, lasted 1-2 minutes. Direction N-S. Ground: Soil, compact, level."
"Concord (2036 Highland Dr.), CA 94521",37.9538109,-121.9643745,3,"Lasted 5-10 secords. Di- rection indoors NW-SE with some vertical components. Moderate earth noises heard. Ground: Soil, compact, sloping -"
"Concord (2212 Channing Court), CA 94521",37.9935019,-122.0378725,2,"Motion rolling, fairly rapid, lasted 30 seconds or less. Faint earth noises heard. Ground: Soil and adobe, level."
"Corte Madera, CA 94925",37.920558,-122.5089856,6,"Motion rapid, lasted 15 seconds. Loud earth noises heard by many. Felt by all and frightened few in community. Windows, doors, and dishes rattled; houss creaked. Hanging objects swung. Small objects shifted. Damage slight. Ground: Soil."
"811 Meadowsweet Rd., Corte Madera, CA 94925",37.9228881,-122.5147662,6,"Motion slow, wavelike. Direction N. Loud earth noises heard. North and south walls in living room of one apartment were severely shaken but the plaster remained undamaged, while on the opposite sides tongue-and-groove boards broke apart 1/16 to 1/8 inch at the joints. Plaster in downstairs room had new crack at girder. Damage slight. Ground: Rocky, sloping."
"21 Lakeside Dr., Corte Madera, CA 94925",37.9276365,-122.5205283,6,"Motion slow, then rapid, lasted about 20 seconds. Direction SE-NW. Loud earth noises heard. Small objects shifted. Very fine stucco cracks. Man living directly across street did not feel shock. It was the most severe shock I have ever felt. Damage insignificant here. The 11:44 shock was the only one I felt. Ground: Filled in marshland."
"55 Chickasaw Court, Corte Madera, CA 94925",37.9320166,-122.5204299,6,"Motion rapid, sharp, followed by slow waves, lasted 30 seconds. Loud earth noises heard. Small objects shifted. Very small wall plaster cracks. Damage slight. Ground: Filled in, level."
"171 Summit Dr., Corte Madera, CA 94925",37.9224421,-122.5358244,4,Motion very rapid. Loud earth noises heard. Direction seemed N-S. House seemed to roll several times. Ground: Rocky; on steep hillside.
"Crockett, CA 94525",38.0524208,-122.2130236,6,"Motion rapid, lasted 1 minute. Faint earth noises heard by few. Felt by all in post office; outdoors by others (active); frightened many in community. Windows, doors, and dishes rattled; walls creaked. Trees, bushes shaken slightly. Small objects and furnishings shifted. Damage slight. Ground: Filled in, level."
"Danville, CA 94526",37.8006948,-121.9814354,6,"Motion rapid, lasted 30 seconds. Direction W-E. Moderate earth noises from W-E heard by many. Felt by and frightened many in community. Windows and doors rattled; house creaked. Trees, bushes shaken slightly. Ground cracked. Damage none or slight to brick and concrete. Ground: Soil, compact, level."
"782 Danville Highway, Route 2, Danville, CA 94526",37.8318421,-122.0126646,5,"Motion rapid, lasted 2 minutes. Direction NE. Earth noises sounded like heavy truck passing. I was in the kitchen and saw the counters sway."
"89 Turrine Circle, Danville, CA 94526",37.8298663,-121.9912018,4,"Lasted 15-20 seconds. House creaked strongly. Ground: Wet adobe and soil, compact, level."
"4067 Wesley Way, El Sobrante, CA 94803",37.9636338,-122.3061232,6,"Motion slow, lasted several seconds. Direction S. Hairline cracks in stucco. Damage slight. Ground: Soil, compact, sloping."
"El Sobrante, CA 94803",37.9587253,-122.2767313,5,Direction E. Moderate earth noises from NW heard by many few seconds before shock. Felt by all and frightened few in community. Hanging objects swung E. Ground: Compact.
"4563 Utah Dr., El Sobrante, CA 94803",37.9702404,-122.2935435,4,"Motion rapid. Faint earth noises heard. Bird cage rocked. Ground: Soil, sloping."
"Fairfax, CA 94930",37.9871454,-122.5888686,6,"Motion rapid, lasted 6 seconds. Moderate earth noises heard by few. Felt by all in post office, by others outdoors; awakened few and frightened many in community. Windows, doors rattled; building creaked. Hanging objects swung. Small objects and furnishings shifted; vases and small objects overturned. Plaster cracked. Knickknacks fell. Damage slight. Ground: Rocky, level."
"Cascade, Fairfax, CA 94930",37.9769262,-122.6003279,4,"Motion rapid, lasted about 15 seconds. Direction E-W. Loud earth noises sounded like a big cement truck coming down the hill. Ground: Rocky soil, compact, sloping."
"485 Scenic Rd., Fairfax, CA 94930",37.9878365,-122.6006402,4,"Motion moderate. Felt like house was hit at SE corner. Direction NE. Ground: Rocky, sloping; hillside."
"100 San Gabriel Dr., Fairfax, CA 94930",37.9937043,-122.5870918,4,"Motion rapid, lasted 3-4 minutes. Moderate earth noises heard. Few small objects rattled. Ground: Rocky, sloping."
"31 Gregory Dr., Fairfax, CA 94930",38.0018014,-122.5934305,3,"Motion rapid, lasted 30 seconds. Direction NE. Moderate earth noises heard. Ground: Compact, level."
"22 Fir Path, Fairfax, CA 94930",37.9897991,-122.599536,2,"Motion rapid, lasted 3 seconds. Ground: Loose, sloping."
"Fremont, CA 94538",37.5042267,-121.9643745,6,"Motion rapid, lasted 45 seconds. Direction NE. Faint earth noises from NE heard. Felt by many (some outdoors; active) and frightened many in community. Windows, doors, and dishes rattled; house creaked. Small objects shifted; vases, etc., overturned. Plaster cracked. Knickknacks and pictures fell. Ground: Soil, compact."
"Glen Ellen, CA 95442",38.3640795,-122.5241487,6,"Motion rapid, lasted 30 seconds. Direction NE. Faint earth noises from NE heard by few. Felt by all in community; frightened many. Windows, doors, and dishes rattled; house creaked. Hanging objects swung NE. Pendulum clocks stopped. Trees, bushes shaken moderately. Damage slight. Ground: Rocky, level, sloping."
"Gulf of the Farallones, CA",37.7516895,-122.8535755,6,"Lightship on the bar, about 9 miles offshore of San Francisco, reported heavy shock and violent flapping of anchor chains."
"Half Moon Bay, CA 94019",37.4635519,-122.4285862,6,"Motion slow, lasted 10 seconds. Direction E. Felt by and frightened all in community. Hanging objects swung E-W. Trees, bushes shaken strongly. Small objects shifted and overturned. Plaster and walls cracked. Knickknacks, books, and plaster fell. Damage slight. Ground: Soil, compact, level."
"Substation, Half Moon Bay, CA 94019",37.4635519,-122.4285862,6,"Press reported fuse was shaken loose in substation, causing temporary power failure."
"640 Marlborough Road, Hillsborough, CA 94010",37.5510004,-122.3517901,6,Press reported Hillsborough apparently had no damage except for a small water line which broke in front of 640 Marlborough Road.
"551 Craig Rd., Carolands, Hillsborough, CA 94010",37.5555507,-122.3732969,6,"Motion rapid, lasted 2 seconds. Moderate earth noises heard. Small objects shifted. Plaster and walls cracked. Damage slight. Ground: Soil, compact, level and sloping."
"986 Baileyana Rd., Hillsborough, CA 94010",37.5772311,-122.3759538,6,"Motion rapid, lasted 5 minutes. Loud earth noises heard. Plaster and ground cracked. Damage slight. Ground: Soil, compact, level."
"960 Black Mountain Rd., Hillsborough, CA 94010",37.5540663,-122.3504475,6,"Motion slow, lasted 5-10 seconds. Direction N. Loud earth noises heard. Some retaining walls cracked. Small objects and furnishings shifted. Ground: Clay, some shale; hillside."
"550 Pullman Rd., Hillsborough, CA 94010",37.5579833,-122.3710292,5,"Motion rapid, lasted about 1.5 minutes. Direction NNE. Loud earth noises heard. Small objects shifted. Ground: Rocky."
"1763 Forest View Rd., Hillsborough, CA 94010",37.5787645,-122.3631341,5,"Motion slow, lasted 5-6 seconds. Direction N-S. Small objects shifted. Ground: Compact, level."
"70 Downey Way, Hillsborough, CA 94010",37.5773516,-122.371661,5,"Motion slow, lasted 30-40 seconds. Moderate earth noises heard. Small objects shifted. Brick and masonry planter outdoors slightly damaged. Ground: Soil, loose, sloping."
"815 Hillsborough Blvd., Hillsborough, CA 94010",37.5693919,-122.355891,5,"Motion rapid, rolling, lasted about 8 seconds. House rolled. Two objects fell toward S. Very minor dish breakage. Three doors on N-S axis seem to stick less than usual. Ground: Soil, compact, level."
"550 Ramillard Dr., Hillsborough, CA 94010",37.5543868,-122.3712257,3,"Motion rapid, lasted few seconds. Direction W-E. Ground: Rocky soil."
"Hillsborough, CA 94010",37.5741032,-122.3794163,3,"Motion slow. Direction N. Faint earth noises heard. Ground: Rocky, compact, sloping."
"Kentfield, CA 94904",37.941063,-122.5655549,6,"Motion rapid, lasted 1 minute. Direction NW. Loud earth noises heard. Plaster cracked. Damage slight. Ground: Soil, sloping."
"Kentfield, CA 94904",37.941063,-122.5655549,5,"Motion rapid, lasted 1 minute. Moderate to loud earth noises heard by many. Felt by and frightened all. Noise was frightening. I had never heard that before. Ground: Level."
"Kentfield, CA 94904",37.941063,-122.5655549,5,"Motion trembling, abrupt onset. Earth noises heard by several. Visible swaying of buildings and trees. Observer reported slight damage to buildings (type and extent unknown). Ground: Clay."
